CRITERIA,Date of Crisis,Type of Crisis,Location,Impact,Casualities (deaths),Casualities (injured)

Agadir Earthquake in Morocco 1960,2/26/1960,Earthquake,"30.4, -9.6",5.7 Magnitude,"15,000","12,000"

Valdivia Terremoto 1960,5/22/1960,Earthquake,"-38.24, -73.05",9.5  Magnitude,2231-6000,

Bou'in-Zahra Earthquake in Iran 1962,9/1/1962,Earthquake,"35.63, 49.87",7.1 Magnitude,"12,225","2,776"

Hurricane Flora 1963,9/26/1963 - 10/12/1963,Hurricane,"19, -70.666667","Category 4, sixth deadliest Atlantic hurricane","8,000",

Zanzibar Revolution in Tanzania 1964,1/12/1964,Massacre,"-6.133333, 39.316667",,"20,000",

Great Alaskan Earthquake 1964,3/27/1964,Earthquake,"61.05, -147.48",9.2 Magnitude,131,

Hurricane Betsy 1965,8/27/1965 - 9/14/1965,Hurricane,"24.666944, -81.544167",Billion-Dollar Betsy,76,

University of Texas Massacre 1966,8/1/1966,School Shooting,"30.28614, -97.73942",,14,32

My Lai Massacre in Vietnam 1968,3/16/1968,Massacre,"15.178333, 108.869444",,504,

Dasht-e Bayaz and Ferdows Earthquake in Iran 1968,8/31/1968 - 9/1/1968,Earthquake,"33.9, 59.02",7.2 Magnitude,"12,000",

Hurricane Camille 1969,8/14/1969 - 8/22/1969,Hurricane,"26.588527,-86.572266","$1.42 billion 1969 USD, $8.4 billion 2010 USD",259,

Sahel Drought 1968-1972,1968-1972,Famine,"14.25, -0.75",Series of historic droughts led to famine that affected 50 million people,"1,000,000",

Tonghai 地震 1970,1/4/1970,Earthquake,"25.96, 101.32",7.5 Magnitude,"15,621","26,783"

Ancash Earthquake or Great Puruvian Earthquake 1970,5/31/1970,Earthquake,"-9.47, -78.31",7.9 Magnitude,"75,000","200,000"

Bhola Cyclone 1970,11/13/1970,Hurricane,"22.5697, 88.3697",Category 3,"500,000",

Iran Blizzard 1972,2/1/1972,Blizzard,"32.533333, 54.016667",,"4,000",

Buffalo Creek Flood 1972,2/26/1972,Flood,"37.797196, -81.663769",Technological Failure of the Dam,125,"1,121"

Bangladesh Famine 1974,3/1/1974 - 12/1/1974,Famine,"26.20073, 91.74683",,"1,500,000",

Hurricane Fifi or Orlene 1974,9/14/1974 - 9/24/1974,Hurricane,"14.1, -87.216667","Category 2, fourth deadliest Atlantic hurricane","8,200",

Super Typhoon Nina 1975,7/30/1975,Hurricane,"26.55, 117.85",,"210,000",

Guatemala Terremoto 1976,2/4/1976,Earthquake,"15.32, -89.1",7.5 Magnitude,"23,000","76,000"

Seveso Disaster 1976,7/10/1976,Technological Hazard,"45.654053, 9.148269","Highest Exposure to 2, 3, 7, 8 TCDD",,

Tangshan 地震 1976,12/28/1976,Earthquake,"39.6, 118.166667",7.8 Magnitude,"242,419-779,000","164,000"

Tabas Earthquake 1978,9/16/1978,Earthquake,"33.2, 57.4",7.8 Magnitude,"15,000",

Three Mile Island Accident 1979,3/28/1979,Technological Hazard,"40.153293, -76.72534",Release of up to 481 PBq of radioactive gases,,

Ixtoc I Oil Spill 1979,6/3/1979,Technological Hazard,"19.408333, -92.325",3 million barrels,,

Love Canal Disaster 1980,7/1/1978 - 09/29/1999,Industrial Hazard,"43.080518, -78.948956","21,000 tons of toxic waste",,

Mount St. Helens Eruption 1980,5/18/1980,Volcano,"46.200047, -122.189203",,57,

